epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,277.659,1.73406,2.39338,1.40055,0.64176,0.56596,0.58845,0.28157,1.64865,1.52846,1.48559,0.00998984,0.00332995,0.00998984,0.00332995,0.00998984,0.00332995,0.00998984,0.00332995
2,522.904,1.63492,1.67883,1.32904,0.63917,0.64682,0.65314,0.33084,1.56811,1.1676,1.42176,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135
3,758.684,1.65368,1.56837,1.34845,0.56876,0.62263,0.61148,0.29528,1.6902,1.28236,1.51646,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075
4,990.1,1.65621,1.5065,1.36308,0.66832,0.64509,0.66513,0.33348,1.55725,1.16483,1.49379,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1205.54,1.60417,1.39788,1.3331,0.66472,0.62264,0.64635,0.31433,1.68363,1.15103,1.52091,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1417.83,1.55627,1.32028,1.30714,0.72112,0.6867,0.71133,0.37907,1.47482,0.96022,1.38449,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1640.81,1.53127,1.28159,1.29366,0.7244,0.70848,0.71767,0.37864,1.50054,0.97928,1.41684,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1861.99,1.51004,1.24138,1.28286,0.69963,0.73132,0.74274,0.40304,1.44961,0.88381,1.38155,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2086.14,1.47719,1.20825,1.26118,0.73998,0.72499,0.74735,0.41938,1.41679,0.88053,1.35437,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2305.76,1.46245,1.17831,1.25578,0.69977,0.74457,0.75438,0.42299,1.4209,0.86386,1.35838,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2535.11,1.45282,1.16307,1.24526,0.73941,0.74764,0.76597,0.43005,1.40796,0.83384,1.33312,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2755.38,1.44256,1.14797,1.24039,0.73664,0.76309,0.77347,0.43123,1.39973,0.81626,1.34448,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2969.19,1.42863,1.12799,1.23056,0.74413,0.75717,0.76985,0.42636,1.39293,0.80907,1.32859,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
